Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=41, 비교문서 문장번호=254, 비교문서 문장=그만 말하고 내 말을 들어라, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=presrisong&logNo=140029795063&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.5384615384615384, endResult=0.5540170307527734]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=41, 비교문서 문장번호=684, 비교문서 문장=말할 수 없습니다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=presrisong&logNo=140029795063&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.6666666666666666, endResult=0.6309401076758503]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=43, 비교문서 문장번호=4, 비교문서 문장=노 교수였다 ., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=sunsetnara&logNo=20125368760&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.631578947368421, endResult=0.609887476096903]
Data [검사문장번호=6, 검사문장=이 모리 교수의 말이 처음에 이해가 되지 않았다., 비교문서번호=7, 비교문서 문장번호=3, 비교문서 문장=이 책도 모리 교수는 대단한 사람이구나., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=withacat&logNo=70176449408&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.5918367346938775, endResult=0.5860421484921768]
Data [검사문장번호=6, 검사문장=이 모리 교수의 말이 처음에 이해가 되지 않았다., 비교문서번호=8, 비교문서 문장번호=7, 비교문서 문장=이 모리 교수의 말이 나는 처음에 이해가 되지 않았다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=1.0, tagRate=0.0, editRate=0.9473684210526315, endResult=0.968421052631579]
Data [검사문장번호=8, 검사문장=인간은 모두 삶이 같다고, 비교문서번호=18, 비교문서 문장번호=24, 비교문서 문장=인간이 계속 하기 때문이야., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=bell7788&logNo=10084549858&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7071067811865475, tagRate=0.0, editRate=0.6428571428571429, endResult=0.6685569981889048]
Data [검사문장번호=8, 검사문장=인간은 모두 삶이 같다고, 비교문서번호=26, 비교문서 문장번호=35, 비교문서 문장=인간은 유약하다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=herdkmh&logNo=196666028&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=1.0, tagRate=0.0, editRate=0.6363636363636364, endResult=0.7818181818181817]
Data [검사문장번호=8, 검사문장=인간은 모두 삶이 같다고, 비교문서번호=34, 비교문서 문장번호=51, 비교문서 문장=인간이 언젠가 죽는다는 것을 안다는 것과 곧 죽는다는 것을 안다는 것에는 큰 차이가 있습니다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=kwak27&logNo=60000497375&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7071067811865475, tagRate=0.0, editRate=0.3076923076923077, endResult=0.46745809709000363]
Data [검사문장번호=8, 검사문장=인간은 모두 삶이 같다고, 비교문서번호=41, 비교문서 문장번호=67, 비교문서 문장=때로는 20 세 청년보다도 60 세 인간에게 청춘이 있다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=presrisong&logNo=140029795063&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.4, endResult=0.4709401076758504]
Data [검사문장번호=8, 검사문장=인간은 모두 삶이 같다고, 비교문서번호=41, 비교문서 문장번호=210, 비교문서 문장=인간이 가진 것 중에서 가장 귀한 것은 바로 삶이다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=presrisong&logNo=140029795063&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7071067811865475, tagRate=0.0, editRate=0.4523809523809524, endResult=0.5542712839031905]
Data [검사문장번호=8, 검사문장=인간은 모두 삶이 같다고, 비교문서번호=41, 비교문서 문장번호=437, 비교문서 문장=인간은 자신이 자랑하던, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=presrisong&logNo=140029795063&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.68, endResult=0.6389401076758504]
Data [검사문장번호=8, 검사문장=인간은 모두 삶이 같다고, 비교문서번호=41, 비교문서 문장번호=488, 비교문서 문장=인간이 되는 이유 인간은 역사가 없다면 인간 일 수 없을 것이다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=presrisong&logNo=140029795063&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.40816326530612246, endResult=0.4758380668595238]
Data [검사문장번호=8, 검사문장=인간은 모두 삶이 같다고, 비교문서번호=41, 비교문서 문장번호=635, 비교문서 문장=인간에게는 물이 주는 선물이 많다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=presrisong&logNo=140029795063&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7071067811865475, tagRate=0.0, editRate=0.625, endResult=0.657842712474619]
Data [검사문장번호=9, 검사문장=생각하지만 보면 매우 삶이 짧게만 느껴진다., 비교문서번호=2, 비교문서 문장번호=25, 비교문서 문장=라는 생각이 들었다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=wiazard803&logNo=20055717073&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7071067811865475, tagRate=0.0, editRate=0.45714285714285713, endResult=0.5571284267603333]
Data [검사문장번호=9, 검사문장=생각하지만 보면 매우 삶이 짧게만 느껴진다., 비교문서번호=5, 비교문서 문장번호=2, 비교문서 문장=하는 생각이 들었다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=dydrla85&logNo=20130713129&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7071067811865475, tagRate=0.0, editRate=0.4857142857142857, endResult=0.5742712839031905]
Data [검사문장번호=9, 검사문장=생각하지만 보면 매우 삶이 짧게만 느껴진다., 비교문서번호=6, 비교문서 문장번호=6, 비교문서 문장=라는 생각을 할 수 있게 해 주었다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=aosl02&logNo=220226672529&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7071067811865475, tagRate=0.0, editRate=0.5909090909090909, endResult=0.6373881670200736]
Data [검사문장번호=9, 검사문장=생각하지만 보면 매우 삶이 짧게만 느껴진다., 비교문서번호=7, 비교문서 문장번호=26, 비교문서 문장=생각했던, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=withacat&logNo=70176449408&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7071067811865475, tagRate=0.0, editRate=0.21428571428571427, endResult=0.41141414104604757]
Data [검사문장번호=9, 검사문장=생각하지만 보면 매우 삶이 짧게만 느껴진다., 비교문서번호=12, 비교문서 문장번호=16, 비교문서 문장=난 성급히 생각을 접었다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=cecav16536&logNo=70005929848&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7071067811865475, tagRate=0.0, editRate=0.5, endResult=0.5828427124746189]
